epoch_ms,uptime_ms,frame_start_uptime_ms,frame_end_uptime_ms,frame_dt_ms,trial_id,section_id,session_id,trial_number,division_tag,device_family,device_family_code,device_name,parsed_load_family,parsed_load_type,load_type,label_arc,abs_irms_zscore_vs_baseline,delta_irms_abs,halfcycle_asymmetry,suspicious_run_energy,delta_hf_energy,delta_flux,midband_residual_ratio,zcv,spectral_flux_midhf,peak_fluct_cv,residual_crest_factor,thd_i,hf_energy_delta,edge_spike_ratio,ctx_family_resistive_linear,ctx_family_inductive_motor,ctx_family_rectifier_smps,ctx_family_phase_angle_controlled,ctx_family_brush_universal_motor,ctx_family_other_mixed,context_family_confidence,rf_train_row,sample_weight,label_trust,clean_reason,clean_quality,source_kind,source_priority,trusted_normal_session,context_family_code_runtime,context_runtime_source,context_augmented,section_prior,notes,_source_file,_source_folder,feature_compute_end_uptime_ms,log_enqueue_uptime_ms,compute_time_ms,timing_skew_ms,v_rms,i_rms,temp_c,model_pred,feat_valid,current_valid,sampling_quality_bad,invalid_loaded_flag,invalid_off_flag,relay_blank_active,turnon_blank_active,transient_blank_active,suspicious_run_len,invalid_loaded_run_len,restrike_count_short,context_family_code_provisional,context_family_confidence_provisional,context_acquiring,context_latched,adc_fs_hz,feature_space_version,cycle_nmse,fs_err_hz,v_sag_pct,queue_drop_count,fault_state,arc_counter,auto_capture,section_key,arc_like_score,normal_like_score,transport_glitch_flag,hard_negative,transition_normal,conflict_scope,_feature_sig,_conflict_sig,label_conflict,conflict_policy
1775805300000,108000,108000,108006,100.12822289532865,scaffold__resistive_linear__electric_kettle__trial_01,scaffold__resistive_linear__electric_kettle__trial_01__steady,scaffold__resistive_linear__electric_kettle__trial_01__steady__sess,1,steady,resistive_linear,0,electric_kettle,resistive_linear,electric_kettle,electric_kettle,0,0.122456,0.039726,8.5,6.0,1.386558,2.622868,-65.484622,0.33,36.337858,0.094022,9.0,63.5915,9.487178,-6.2,0.88,0.0265,0.0249,0.0233,0.0168,0.0285,0.8934,1,0.18,0.38,scaffold_context_seed,synthetic_context,scaffold_arc,0.18,0,0,scaffold_family,1,steady_hint,heater_wet_filament_step,scaffold/resistive_linear/electric_kettle__steady.csv,scaffold/resistive_linear,108008,108010,6.841421305735764,-0.25974925862542103,227.129,6.02969,28.911,0,1,1,0,0,0,0,0,0,2549,0,0,0,0.8434,0,1,26775.867,5,0.300279,486.017,0.056084,0,0,2,0,electric_kettle::steady,0.2028,1.1753,0,0,0,,,,0,none
1775805300100,108100,108100,108106,100.38737268844048,scaffold__resistive_linear__electric_kettle__trial_01,scaffold__resistive_linear__electric_kettle__trial_01__steady,scaffold__resistive_linear__electric_kettle__trial_01__steady__sess,1,steady,resistive_linear,0,electric_kettle,resistive_linear,electric_kettle,electric_kettle,0,0.1433,0.064923,8.5,6.0,1.492818,2.286188,-62.604772,0.33,39.163253,0.188368,9.0,66.4095,10.002571,-6.2,0.88,0.0172,0.0473,0.0282,0.0163,0.011,0.8626,1,0.18,0.38,scaffold_context_seed,synthetic_context,scaffold_arc,0.18,0,0,scaffold_family,1,steady_hint,heater_wet_filament_step,scaffold/resistive_linear/electric_kettle__steady.csv,scaffold/resistive_linear,108108,108110,5.639463868505926,-1.6123343060455755,227.488,6.033926,28.789,0,1,1,0,0,0,0,0,0,3349,0,0,0,0.8126,0,1,26239.569,5,0.128377,475.911,0.050815,0,0,1,0,electric_kettle::steady,0.2101,1.1675,0,0,0,,,,0,none
1775805300200,108200,108200,108206,97.91808944612113,scaffold__resistive_linear__electric_kettle__trial_01,scaffold__resistive_linear__electric_kettle__trial_01__steady,scaffold__resistive_linear__electric_kettle__trial_01__steady__sess,1,steady,resistive_linear,0,electric_kettle,resistive_linear,electric_kettle,electric_kettle,0,0.060632,0.052076,8.5,6.0,1.546406,2.512505,-57.363098,0.33,37.043071,0.277184,9.0,70.3892,10.020614,-6.2,0.88,0.0219,0.013,0.0437,0.0046,0.0367,0.9062,1,0.18,0.38,scaffold_context_seed,synthetic_context,scaffold_arc,0.18,0,0,scaffold_family,1,steady_hint,heater_wet_filament_step,scaffold/resistive_linear/electric_kettle__steady.csv,scaffold/resistive_linear,108208,108210,5.982116750331137,0.030194523772200024,229.865,6.373228,27.22,0,1,1,0,0,0,0,0,0,3150,0,0,0,0.8562,0,1,24658.645,5,0.217492,481.684,0.045208,0,0,0,0,electric_kettle::steady,0.1995,1.176,0,0,0,,,,0,none
1775805300300,108300,108300,108306,95.2262597720712,scaffold__resistive_linear__electric_kettle__trial_01,scaffold__resistive_linear__electric_kettle__trial_01__steady,scaffold__resistive_linear__electric_kettle__trial_01__steady__sess,1,steady,resistive_linear,0,electric_kettle,resistive_linear,electric_kettle,electric_kettle,0,0.108101,0.043566,8.5,6.0,1.196325,2.117126,-64.009703,0.33,35.224738,0.183398,9.0,65.2614,9.688408,-6.2,0.88,0.0442,0.0328,0.0178,0.0162,0.0089,0.8904,1,0.18,0.38,scaffold_context_seed,synthetic_context,scaffold_arc,0.18,0,0,scaffold_family,1,steady_hint,heater_wet_filament_step,scaffold/resistive_linear/electric_kettle__steady.csv,scaffold/resistive_linear,108308,108310,5.05731102236315,0.7708170776435538,229.113,6.053445,27.937,0,1,1,0,0,0,0,0,0,3796,0,0,0,0.8404,0,1,26709.07,5,0.255408,533.184,0.0514,0,0,0,0,electric_kettle::steady,0.1988,1.174,0,0,0,,,,0,none
1775805300400,108400,108400,108406,104.95903125677613,scaffold__resistive_linear__electric_kettle__trial_01,scaffold__resistive_linear__electric_kettle__trial_01__steady,scaffold__resistive_linear__electric_kettle__trial_01__steady__sess,1,steady,resistive_linear,0,electric_kettle,resistive_linear,electric_kettle,electric_kettle,0,0.118237,0.047778,8.5,6.0,1.514046,2.862765,-63.018539,0.33,36.205043,0.054856,9.0,66.3074,10.48817,-6.2,0.88,0.0307,0.015,0.0225,0.0261,0.0257,0.9121,1,0.18,0.38,scaffold_context_seed,synthetic_context,scaffold_arc,0.18,0,0,scaffold_family,1,steady_hint,heater_wet_filament_step,scaffold/resistive_linear/electric_kettle__steady.csv,scaffold/resistive_linear,108408,108410,5.940661140342659,-0.1942796755321955,228.21,5.390896,27.625,0,1,1,0,0,0,0,0,0,2884,0,1,0,0.8621,0,1,26678.495,5,0.227033,468.719,0.051843,0,0,0,0,electric_kettle::steady,0.2048,1.1762,0,0,0,,,,0,none
1775805300500,108500,108500,108506,103.18029923281901,scaffold__resistive_linear__electric_kettle__trial_01,scaffold__resistive_linear__electric_kettle__trial_01__steady,scaffold__resistive_linear__electric_kettle__trial_01__steady__sess,1,steady,resistive_linear,0,electric_kettle,resistive_linear,electric_kettle,electric_kettle,0,0.093627,0.028873,8.5,6.0,1.38219,2.781534,-64.071789,0.33,35.684992,0.03397,9.0,62.3714,10.029781,-6.2,0.88,0.0271,0.025,0.0169,0.043,0.0079,0.9043,1,0.18,0.38,scaffold_context_seed,synthetic_context,scaffold_arc,0.18,0,0,scaffold_family,1,steady_hint,heater_wet_filament_step,scaffold/resistive_linear/electric_kettle__steady.csv,scaffold/resistive_linear,108508,108510,6.731373960617941,1.5729758183567264,228.759,6.015287,28.213,0,1,1,0,0,0,0,0,0,3159,0,0,0,0.8543,0,1,26739.853,5,0.176824,524.833,0.07514,0,0,2,0,electric_kettle::steady,0.196,1.1817,0,0,0,,,,0,none
1775805300600,108600,108600,108606,94.73838497218944,scaffold__resistive_linear__electric_kettle__trial_01,scaffold__resistive_linear__electric_kettle__trial_01__steady,scaffold__resistive_linear__electric_kettle__trial_01__steady__sess,1,steady,resistive_linear,0,electric_kettle,resistive_linear,electric_kettle,electric_kettle,0,0.163212,0.071364,8.5,6.0,1.576008,2.555342,-63.08636,0.33,35.129557,0.086759,9.0,70.7183,10.553407,-6.2,0.88,0.0073,0.0256,0.0152,0.007,0.0648,0.8703,1,0.18,0.38,scaffold_context_seed,synthetic_context,scaffold_arc,0.18,0,0,scaffold_family,1,steady_hint,heater_wet_filament_step,scaffold/resistive_linear/electric_kettle__steady.csv,scaffold/resistive_linear,108608,108610,5.169018344954887,-0.29493625190870393,228.63,5.614128,27.439,0,1,1,0,0,0,0,0,0,3365,0,1,0,0.8203,0,1,26356.486,5,0.1707,450.657,0.016452,0,0,2,0,electric_kettle::steady,0.2141,1.1675,0,0,0,,,,0,none
1775805300700,108700,108700,108706,99.0808947146903,scaffold__resistive_linear__electric_kettle__trial_01,scaffold__resistive_linear__electric_kettle__trial_01__steady,scaffold__resistive_linear__electric_kettle__trial_01__steady__sess,1,steady,resistive_linear,0,electric_kettle,resistive_linear,electric_kettle,electric_kettle,0,0.034957,0.061075,8.5,6.0,1.353497,2.622921,-63.703039,0.33,38.070418,0.101811,9.0,65.834,9.579935,-6.2,0.88,0.0463,0.0143,0.0271,0.018,0.0143,0.8712,1,0.18,0.38,scaffold_context_seed,synthetic_context,scaffold_arc,0.18,0,0,scaffold_family,1,steady_hint,heater_wet_filament_step,scaffold/resistive_linear/electric_kettle__steady.csv,scaffold/resistive_linear,108708,108710,5.033458182865172,2.3705396374702814,228.097,5.838294,28.31,0,1,1,0,0,0,0,0,0,1617,0,0,0,0.8212,0,1,26673.195,5,0.206376,527.675,0.052373,0,0,0,0,electric_kettle::steady,0.1929,1.1834,0,0,0,,,,0,none
1775805300800,108800,108800,108806,99.98613874398002,scaffold__resistive_linear__electric_kettle__trial_01,scaffold__resistive_linear__electric_kettle__trial_01__steady,scaffold__resistive_linear__electric_kettle__trial_01__steady__sess,1,steady,resistive_linear,0,electric_kettle,resistive_linear,electric_kettle,electric_kettle,0,0.109723,0.056312,8.5,6.0,1.400974,2.854068,-60.2303,0.33,36.908161,0.147808,9.0,67.4484,9.588156,-6.2,0.88,0.0218,0.0093,0.0079,0.0138,0.0671,0.9012,1,0.18,0.38,scaffold_context_seed,synthetic_context,scaffold_arc,0.18,0,0,scaffold_family,1,steady_hint,heater_wet_filament_step,scaffold/resistive_linear/electric_kettle__steady.csv,scaffold/resistive_linear,108808,108810,5.310359367792185,0.9288768236730317,225.058,6.032092,28.797,0,1,1,0,0,0,0,0,0,2887,0,0,0,0.8512,0,1,27051.563,5,0.220171,520.015,0.057336,0,0,1,0,electric_kettle::steady,0.2077,1.1736,0,0,0,,,,0,none
1775805300900,108900,108900,108906,101.78545871162244,scaffold__resistive_linear__electric_kettle__trial_01,scaffold__resistive_linear__electric_kettle__trial_01__steady,scaffold__resistive_linear__electric_kettle__trial_01__steady__sess,1,steady,resistive_linear,0,electric_kettle,resistive_linear,electric_kettle,electric_kettle,0,0.135785,0.045532,8.5,6.0,1.60872,1.948268,-64.773784,0.33,35.495576,0.189814,9.0,65.7479,9.685743,-6.2,0.88,0.0156,0.0038,0.0356,0.0375,0.0275,0.8736,1,0.18,0.38,scaffold_context_seed,synthetic_context,scaffold_arc,0.18,0,0,scaffold_family,1,steady_hint,heater_wet_filament_step,scaffold/resistive_linear/electric_kettle__steady.csv,scaffold/resistive_linear,108908,108910,6.310876821982078,-1.5881352411818654,230.316,5.960767,27.735,0,1,1,0,0,0,0,0,0,1130,0,1,0,0.8236,0,1,27268.47,5,0.238225,515.289,0.063566,0,0,1,0,electric_kettle::steady,0.2021,1.1703,0,0,0,,,,0,none
1775805301000,109000,109000,109006,97.01481497687871,scaffold__resistive_linear__electric_kettle__trial_01,scaffold__resistive_linear__electric_kettle__trial_01__steady,scaffold__resistive_linear__electric_kettle__trial_01__steady__sess,1,steady,resistive_linear,0,electric_kettle,resistive_linear,electric_kettle,electric_kettle,0,0.121889,0.050454,8.5,6.0,1.05818,2.752869,-62.907535,0.33,36.908055,0.169396,9.0,67.4631,10.109705,-6.2,0.88,0.0179,0.0216,0.027,0.0481,0.0054,0.8945,1,0.18,0.38,scaffold_context_seed,synthetic_context,scaffold_arc,0.18,0,0,scaffold_family,1,steady_hint,heater_wet_filament_step,scaffold/resistive_linear/electric_kettle__steady.csv,scaffold/resistive_linear,109008,109010,6.271152601253043,3.5071800830282416,228.315,5.949261,27.194,0,1,1,0,0,0,0,0,0,4487,0,0,0,0.8445,0,1,26746.138,5,0.228535,484.083,0.054241,0,0,1,0,electric_kettle::steady,0.2082,1.172,0,0,0,,,,0,none
